name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Kontiki,Kontiki - Passion Wave - Marina Bay,"['Western', 'Burger']",1.29486808,103.866697825,"{'open': True, 'displayedHours': '09:00-20:30', 'sun': '09:00-20:30', 'mon': 'Closed', 'tue': '12:00-20:30', 'wed': '12:00-20:30', 'thu': '12:00-20:30', 'fri': '12:00-20:30', 'sat': '09:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZC2E3EULXMBCT/hero/d742e63202d4449695697d864bc58e01_1585826494921009836.jpg,1.0,"[1.29486808, 103.866697825]",2,9,MARINA EAST
COCA Hotpot,COCA Hotpot - Leisure Park Kallang,"['Asian', 'Chinese', 'Steamboat', 'Thai']",1.3023666,103.87636867380076,"{'open': True, 'displayedHours': '12:00-19:00', 'sun': '12:00-19:00', 'mon': '11:30-19:00', 'tue': '11:30-19:00', 'wed': '11:30-19:00', 'thu': '11:30-19:00', 'fri': '11:30-19:00', 'sat': '12:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNBCTAXC6XYCT/hero/4a9168ee158644c0ae4af0779354279d_1583913250788547647.jpeg,4.3,"[1.3023666, 103.87636867380076]",2,9,MARINA EAST
Gelatissimo,Gelatissimo - Raffles Ave,"['Ice Cream', 'Mart', 'Italian', 'Dessert', 'Snacks']",1.2892203,103.8626,"{'open': True, 'displayedHours': '11:30-20:30', 'sun': '11:30-20:30', 'mon': '11:30-20:30', 'tue': '11:30-20:30', 'wed': '11:30-20:30', 'thu': '11:30-20:30', 'fri': '11:30-20:30', 'sat': '11:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZATPEEHBB61VE/hero/a62f6b3b5c0d4826955fd60a4ea6b324_1585199136694881651.jpeg,4.0,"[1.2892203, 103.8626]",2,8,MARINA EAST
The Roti Roll,The Roti Roll - Costa Rhu,"['Indian', 'Middle Eastern']",1.296874877,103.8669937,"{'displayedHours': 'Closed', 'sun': '12:00-14:30 17:30-21:30', 'mon': 'Closed', 'tue': '12:00-14:30 17:30-21:30', 'wed': '12:00-14:30 17:30-21:30', 'thu': '12:00-14:30 17:30-21:30', 'fri': '12:00-14:30 17:30-21:30', 'sat': '12:00-14:30 17:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JGDB33RUWASE/hero/4f7558a72c154cc3808749bedaffcf62_1610673379022125986.jpeg,0.0,"[1.296874877, 103.8669937]",2,9,MARINA EAST
Indian House,Indian House - Costa Rhu,"['Indian', 'Chicken', 'Vegetarian', 'Seafood']",1.296552,103.86675876,"{'displayedHours': 'Closed', 'sun': '11:00-15:00 17:00-22:30', 'mon': '12:00-22:00', 'tue': '11:45-15:07 17:49-22:30', 'wed': '12:00-15:00 17:30-22:30', 'thu': '12:01-22:00', 'fri': '11:30-15:00 17:30-22:30', 'sat': '11:30-15:00 17:30-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07559/hero/3aa3d6f505b0443faacfc28d6921108c_1595834772062923005.jpeg,4.2,"[1.296552, 103.86675876]",2,9,MARINA EAST
Turkish Lamps & More By Sabina,Turkish Lamps & More By Sabina - The Waterside,"['Gifts', 'Mart', 'Same Prices In-Store']",1.29755927302506,103.883128417014,"{'open': True, 'displayedHours': '08:30-18:30', 'sun': '08:30-18:30', 'mon': '08:30-18:30', 'tue': '08:30-18:30', 'wed': '08:30-18:30', 'thu': '08:30-18:30', 'fri': '08:30-18:30', 'sat': '08:30-18:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NXA2N3VBUYLJ/hero/df3447ea42da4cb5ae36c8549fe99984_1619406199993177306.jpg,0.0,"[1.29755927302506, 103.883128417014]",2,9,MARINA EAST
Thai Village Restaurant,Thai Village Restaurant - Singapore Indoor Stadium,['Thai'],1.2999836776128473,103.8749658,"{'displayedHours': 'Closed', 'sun': '11:30-14:00 17:00-20:00', 'mon': '11:30-14:00 17:00-20:00', 'tue': '11:30-14:00 17:00-20:00', 'wed': '11:30-14:00 17:00-20:00', 'thu': '11:30-14:00 17:00-20:00', 'fri': '11:30-14:00 17:00-20:00', 'sat': '11:30-14:00 17:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLKAABJJAWKBA/hero/7958c794a97d4055a480c35d587ebdd8_1580658754969952410.jpeg,4.9,"[1.2999836776128473, 103.8749658]",2,9,MARINA EAST
GNC,GNC - Kallang Leisure Park,"['Mart', 'Health & Wellness', 'Wellness']",1.3025906,103.87663175,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '10:30-21:00', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYWKN8AKTJ3BEA/hero/56f351133ff0460eae08ed7f490b7038_1573641482601538162.jpeg,5.0,"[1.3025906, 103.87663175]",2,9,MARINA EAST
Big Easy Beverages,Big Easy Beverages - Singapore Indoor Stadium,"['Alcohol', 'Mart']",1.299919014655834,103.87435373333334,"{'open': True, 'displayedHours': '12:00-21:00', 'sun': '12:00-21:00', 'mon': '12:00-21:00', 'tue': '12:00-21:00', 'wed': '12:00-21:00', 'thu': '12:00-21:00', 'fri': '12:00-21:00', 'sat': '12:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AZERCEHFVBKA/hero/33a6e70a835743c09a5ee77a1198b562_1601636616018955795.jpeg,0.0,"[1.299919014655834, 103.87435373333334]",2,9,MARINA EAST
Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - Sports Hub,"['Mart', 'Groceries', 'Beverages', 'Convenience']",1.30222131,103.87390953,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '09:00-22:00', 'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLJTENAEFRA/hero/ee65a815b3a444f2a57ca1e759d9173e_1621875391356975135.jpg,4.0,"[1.30222131, 103.87390953]",2,9,MARINA EAST
Long John Silver's,Long John Silver's - Leisure Park Kallang,"['Fast Food', 'Chicken', 'Seafood', 'Japanese', 'Halal']",1.30206825,103.87668395,"{'open': True, 'displayedHours': '09:00-21:30', 'sun': '09:00-21:30', 'mon': '09:00-21:30', 'tue': '09:00-21:30', 'wed': '09:00-21:30', 'thu': '09:00-21:30', 'fri': '09:00-21:30', 'sat': '09:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01753/hero/a586d2177637437eaa4549e7c119c2f9_1618371473632013019.jpeg,4.1,"[1.30206825, 103.87668395]",2,9,MARINA EAST
The Palms,The Palms - Singapore Swimming Club,['Bakery & Cake'],1.297662,103.880939,"{'open': True, 'displayedHours': '10:00-19:00', 'sun': '10:00-19:00', 'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MVKAK3G2TYAT/hero/cecaefc748c749a595252b2bc600aff0_1617793381436757321.jpeg,0.0,"[1.297662, 103.880939]",2,9,MARINA EAST
Costa Rhu Minimart,Costa Rhu Minimart - Costa Rhu,"['Beverages', 'Convenience', 'Groceries', 'Mart', 'Frozen Food']",1.29687487703562,103.866993728784,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '10:00-16:00', 'tue': '10:00-16:00', 'wed': '10:00-16:00', 'thu': '10:00-16:00', 'fri': '10:00-16:00', 'sat': '10:00-15:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MBGA4BGFECPE/hero/b9cbbc7031f24dab88381569cd64c9e4_1616130341400540131.jpg,5.0,"[1.29687487703562, 103.866993728784]",2,9,MARINA EAST
Sky View Pavilion,Sky View Pavilion - Singapore Flyer,"['Chinese', 'Asian', 'Dessert']",1.2896809,103.863497,"{'displayedHours': 'Closed', 'sun': '11:00-14:30 17:00-20:00', 'mon': '11:00-14:30 17:00-20:00', 'tue': '11:00-14:30 17:00-20:00', 'wed': '11:00-14:30 17:00-20:00', 'thu': '11:00-14:30 17:00-20:00', 'fri': '11:00-14:30 17:00-20:00', 'sat': '11:00-14:30 17:00-20:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11620/hero/upload-photo-Hero_Photo_5795113515224ef096cb7e48fed2bc2b_1557812448554928918.jpeg,0.0,"[1.2896809, 103.863497]",2,8,MARINA EAST
